id,bg,en,lat,type,level,topic,,,,
bg_00036,"посяга/-м към, посегне/-а към",reach for something (extend one's hand towards) x2 tenses," posyaga/-m kŭm, posegne/-a kŭm",VERB,EASY,none,,,,
bg_00037,"разглежда/-м, разгледа/-м","look through (e.g. photos, sites, etc.) x2 tenses"," razglezhda/-m, razgleda/-m",VERB,EASY,none,,,,
bg_00038,"разкрива/-м, разкрие/-я",uncover x2 tenses," razkriva/-m, razkrie/-ya",VERB,EASY,none,,,,
bg_00039,свири/-я с уста,whistle, sviri/-ya s usta,VERB,EASY,none,,,,
bg_00040,Селановци,Villagers, Selanovtsi,MEDIUM,EASY,Society,,,,
bg_00041,"споменава/-м, спомене/-а нещо",mention x2 tenses sth.," spomenava/-m, spomene/-a neshto",VERB,EASY,none,,,,
bg_00042,"става/-м, стане/-а жертва на",become victim of," stava/-m, stane/-a zhertva na",VERB,EASY,none,,,,
bg_00043,терминал едно,terminal one, terminal edno,MEDIUM PHRASE,EASY,Travel,,,,
bg_00044,"аз скимтя̀х, ти/той скимтѐше","I was whimpering, you/he was whimpering "," az skimtyàkh, ti/toĭ skimtèshe",VERB,EASY,none,,,,
bg_00045,"аз спах, ти/той спа","I slept, you/he slept – past definite"," az spakh, ti/toĭ spa",VERB,EASY,none,,,,
bg_00046,"аз спях, ти/той спеше","I slept, you/he slept – past indefinite"," az spyakh, ti/toĭ speshe",VERB,EASY,none,,,,
bg_00047,блестѝ/-я̀ (Eng x2),"twinkle, shine", blestì/-yà (Eng x2),VERB,EASY,none,,,,
bg_00048,в нищото,in the middle of nowhere, v nishtoto,SHORT PHRASE,EASY,Travel,,,,
bg_00049,Вчера Иван боядисва цял ден.,Yesterday Ivan painted all day., Vchera Ivan boyadisva tsyal den.,MEDIUM PHRASE,EASY,Work,,,,
bg_00050,върти/-я опашка,wag one's tail, vŭrti/-ya opashka,VERB,EASY,Living Nature,,,,
bg_00051,го,it – object pronoun, go,MEDIUM,EASY,none,,,,
bg_00052,грее/-я, (of the sun) to shine, gree/-ya,VERB,EASY,Weather,,,,
bg_00053,"запалва/-м, запали/-я","to light (e.g. a cigarette, fire, etc.) x 2 tenses"," zapalva/-m, zapali/-ya",VERB,EASY,Leisure,,,,
bg_00054,звезда̀/-ѝ,a star, zvezdà/-ì,SHORT,EASY,World,,,,
bg_00055,Звездите блестя̀т.,The stars are twinkling., Zvezdite blestyàt.,MEDIUM PHRASE,EASY,World,,,,
bg_00056,"изгрява/-м, изгрее/-а","to rise, x2 tenses – (of the sun) - alt"," izgryava/-m, izgree/-a",VERB,EASY,World,,,,
bg_00057,Лампата свети.,The lamp is on., Lampata sveti.,MEDIUM PHRASE,EASY,Home,,,,
bg_00058,Миналата седмица ходих до София три пъти.,Last week I went to Sofia three times., Minalata sedmitsa khodikh do Sofiya tri pŭti.,LONG PHRASE,EASY,Travel,,,,
bg_00059,на четвърти май,On May 4th, na chetvŭrti maĭ,MEDIUM PHRASE,EASY,Date/Time,,,,
bg_00060,небѐ,Sky, nebè,SHORT,EASY,World,,,,
bg_00061,Очите ѝ блестя̀ха.,Her eyes were shining., Ochite ì blestyàkha.,MEDIUM PHRASE,EASY,People,,,,
bg_00062,парти/-та,Party, parti/-ta,SHORT,EASY,Leisure,,,,
bg_00063,"Помагаме си един на друг, Помагаме си.",We help each other. X 2," Pomagame si edin na drug, Pomagame si.",MEDIUM PHRASE,EASY,People,,,,
bg_00064,Преди Иван боядисваше всяка година.,Ivan used to paint every year., Predi Ivan boyadisvashe vsyaka godina.,MEDIUM PHRASE,EASY,Work,,,,
bg_00065,Преди ходех до София често.,I used to go to Sofia often., Predi khodekh do Sofiya chesto.,MEDIUM PHRASE,EASY,Travel,,,,
bg_00066,"признава/-м, признае/-я   x2","admit, recognize x2 tenses."," priznava/-m, priznae/-ya x2",VERB,HARD,none,,,,
bg_00067,сватба/-и,wedding, svatba/-i,MEDIUM,EASY,People,,,,
bg_00068,свѐти/-я,to emit light, svèti/-ya,VERB,EASY,none,,,,
bg_00069,скимтѝ/-я̀ x2,"whine, whimper (of a dog)", skimtì/-yà x2,VERB,EASY,Living Nature,,,,
bg_00070,Слънцето грее.,The sun is shining., Slŭntseto gree.,MEDIUM PHRASE,EASY,none,,,,
bg_00071,Слънцето изгрява рано.,The sun rises early., Slŭntseto izgryava rano.,MEDIUM PHRASE,EASY,none,,,,
bg_00072,сядам на първия ред,I will sit in the front row, syadam na pŭrviya red,MEDIUM PHRASE,EASY,none,,,,
bg_00073,тенджера/-и,a pot, tendzhera/-i,SHORT,EASY,none,,,,
bg_00074,то,it – subject pronoun, to,MEDIUM,EASY,none,,,,
bg_00075,хотел ЗА животни,a hotel FOR animals, khotel ZA zhivotni,MEDIUM PHRASE,EASY,none,,,,
bg_00076,Цветята отваряха очи.,The flowers were opening their eyes., Tsvetyata otvaryakha ochi.,MEDIUM PHRASE,EASY,none,,,,
bg_00077,шумѝ/-я̀ x2 (not make a noise),"rustle -  of leaves, ripple of water", shumì/-yà x2 (not make a noise),VERB,EASY,none,,,,
bg_00078,реката шумѐше x2,"the river was burbling, rippling", rekata shumèshe x2,MEDIUM PHRASE,EASY,none,,,,
bg_00079,Ще ми се да бях направил другото.,I wish I had done the other one. - alt form, Shte mi se da byakh napravil drugoto.,LONG PHRASE,EASY,none,,,,
bg_00080,в един момент,at one point, v edin moment,MEDIUM PHRASE,EASY,none,,,,
bg_00081,във вторник (не 'на'),on Tuesday, vŭv vtornik (ne 'na'),MEDIUM PHRASE,EASY,none,,,,
bg_00082,гайда/-и,bagpipe, gaĭda/-i,MEDIUM,EASY,none,,,,
bg_00083,джебчийство,pickpocketing, dzhebchiĭstvo,MEDIUM PHRASE,EASY,none,,,,
bg_00084,джебчия/-и,a pickpocket, dzhebchiya/-i,MEDIUM,EASY,none,,,,
bg_00085,застрахователна компания,insurance company, zastrakhovatelna kompaniya,MEDIUM PHRASE,EASY,none,,,,
bg_00086,застрахователна полица,insurance policy, zastrakhovatelna politsa,MEDIUM PHRASE,EASY,none,,,,
bg_00087,звучѝ,he sounded, zvuchì,MEDIUM,HARD,none,,,,
bg_00088,кражба/-и,theft, krazhba/-i,MEDIUM,EASY,none,,,,
bg_00089,мишена/-и,target, mishena/-i,MEDIUM,EASY,none,,,,
bg_00090,Можах да почина. (не 'почива'),I could rest., Mozhakh da pochina. (ne 'pochiva'),MEDIUM PHRASE,EASY,none,,,,
bg_00091,Не знам дали ще мога да си спомня нещо.,I don't know if I'll be able to remember anything., Ne znam dali shte moga da si spomnya neshto.,LONG PHRASE,EASY,none,,,,
bg_00092,огън,fire, ogŭn,SHORT,EASY,none,,,,
bg_00093,(аз) бях щастлив (не 'беше'),(I) was happy, (az) byakh shtastliv (ne 'beshe'),MEDIUM PHRASE,EASY,none,,,,
bg_00094,уроци по музика,music lessons, urotsi po muzika,MEDIUM PHRASE,EASY,none,,,,
bg_00095,"пропуска/-м, пропусне/-а",miss (skip) x 2 tenses," propuska/-m, propusne/-a",VERB,EASY,none,,,,
bg_00096,Помолих да отида на това пътуване.,I asked to go on this trip., Pomolikh da otida na tova pŭtuvane.,MEDIUM PHRASE,EASY,none,,,,
bg_00097,поет/-и,poet, poet/-i,MEDIUM,EASY,none,,,,
bg_00098,"поет, когото баща ми познаваше",a poet my father knew (used to know)," poet, kogoto bashta mi poznavashe",MEDIUM PHRASE,EASY,none,,,,
bg_00099,"Не исках да им кажа, че съм пропуснал урока.",I didn't want to tell them I missed the lesson (perf).," Ne iskakh da im kazha, che sŭm propusnal uroka.",LONG PHRASE,EASY,none,,,,
bg_00100,Питаха ме как беше речта.,They asked me how the speech was., Pitakha me kak beshe rechta.,MEDIUM PHRASE,EASY,none,,,,
bg_00101,Беше ме срам. / Срамувах се.,I was embarrassed x2, Beshe me sram. / Sramuvakh se.,MEDIUM PHRASE,EASY,none,,,,
bg_00102,оркестър/-три,orchestra, orkestŭr/-tri,MEDIUM,EASY,none,,,,
bg_00103,цигулка/-и,violin, tsigulka/-i,MEDIUM,EASY,none,,,,
bg_00104,екшън/-и,action film, ekshŭn/-i,MEDIUM,EASY,none,,,,
bg_00105,подходящо ниво,an appropriate level, podkhodyashto nivo,MEDIUM PHRASE,EASY,none,,,,
bg_00106,"избягва/-м, избяга/-м",escape x2 tenses," izbyagva/-m, izbyaga/-m",VERB,EASY,none,,,,
bg_00107,Имам лош спомен.,I have a bad memory  (of sth. Unpleasant), Imam losh spomen.,MEDIUM PHRASE,EASY,none,,,,
bg_00108,Имам добра/лоша памет. + explain,I have a good/bad memory (ability to remember)., Imam dobra/losha pamet. + explain,LONG PHRASE,EASY,none,,,,
bg_00109,Имам лоша памет. + explain,I have a bad memory (trouble remembering things.), Imam losha pamet. + explain,MEDIUM PHRASE,EASY,none,,,,
bg_00110,Бих искал да имам цигулка.,I would like to have a violin., Bikh iskal da imam tsigulka.,MEDIUM PHRASE,EASY,none,,,,
bg_00111,предимно на испански,mainly in Spanish, predimno na ispanski,MEDIUM PHRASE,EASY,none,,,,
bg_00112,памет,memory - one's ability to remember, pamet,MEDIUM,EASY,none,,,,
bg_00113,спомен,memory - something you remember, spomen,MEDIUM,EASY,none,,,,
bg_00114,китка/-и,wrist, kitka/-i,MEDIUM,EASY,none,,,,
bg_00115,Счупих китката си по време на футболен мач.,I broke my wrist during a football match., Schupikh kitkata si po vreme na futbolen mach.,LONG PHRASE,EASY,none,,,,
bg_00116,преди да тръгна за България,before I left for Bulgaria, predi da trŭgna za Bŭlgariya,MEDIUM PHRASE,EASY,none,,,,
bg_00117,Субтитрите помагат да разпознаваш думите по-лесно.,Subtitles help you recognize words more easily., Subtitrite pomagat da razpoznavash dumite po-lesno.,LONG PHRASE,EASY,none,,,,
bg_00118,Не трябва да ми е толкова интересно.,I shouldn't be so interested., Ne tryabva da mi e tolkova interesno.,MEDIUM PHRASE,EASY,none,,,,
bg_00119,Екшъните не са добри.,The action isn't good., Ekshŭnite ne sa dobri.,MEDIUM PHRASE,EASY,none,,,,
bg_00120,визуален/-лна/-лно/-лни,visual, vizualen/-lna/-lno/-lni,ADJECTIVE,EASY,none,,,,
bg_00121,когато СЕ срещам С приятели,when I'm meeting friends, kogato SE sreshtam S priyateli,MEDIUM PHRASE,EASY,none,,,,
bg_00122,когато срещам приятели, when I meet friends, kogato sreshtam priyateli,MEDIUM PHRASE,EASY,none,,,,
bg_00123,Трябва да говорим повече.,We should talk more., Tryabva da govorim poveche.,MEDIUM PHRASE,EASY,none,,,,
bg_00124,помни/-я  + explain,remember -  to have in one's memory, pomni/-ya + explain,VERB,EASY,none,,,,
bg_00125,Помня пътуването. = Спомням си пътуването.,I remember the trip. X2, Pomnya pŭtuvaneto. = Spomnyam si pŭtuvaneto.,MEDIUM PHRASE,EASY,none,,,,
bg_00126,Вече не помня какво правих вчера. = Вече не си спомням какво правих вчера. ,I no longer remember what I did yesterday.  X2, Veche ne pomnya kakvo pravikh vchera. = Veche ne si spomnyam kakvo pravikh vchera. ,LONG PHRASE,EASY,none,,,,
bg_00127,Не мога да помня имена лесно. / Не мога да запомням имена лесно. ," I can't remember names easily. (- I have a bad memory, I can't commit them to memory)", Ne moga da pomnya imena lesno. / Ne moga da zapomnyam imena lesno. ,LONG PHRASE,EASY,none,,,,
bg_00128,"спомня/-м си, спомни/-я си: X2",he remembers - calls to memory x2 tenses," spomnya/-m si, spomni/-ya si: X2",VERB,EASY,none,,,,
bg_00129,Спомних си името му. ,I remembered his name., Spomnikh si imeto mu. ,MEDIUM PHRASE,EASY,none,,,,
bg_00130,Не мога да си спомня името му. ,I can't remember his name., Ne moga da si spomnya imeto mu. ,MEDIUM PHRASE,EASY,none,,,,
bg_00131,Имам много спомени от детството ми. ,I have many memories from my childhood., Imam mnogo spomeni ot det·stvoto mi. ,LONG PHRASE,EASY,none,,,,
bg_00132,Случва се.,It happens., Sluchva se.,MEDIUM,EASY,none,,,,
bg_00133,промяна/промени,a change + plu, promyana/promeni,MEDIUM PHRASE,EASY,none,,,,
bg_00134,"Когато има промени, понякога забравям.","When there are changes, I sometimes forget."," Kogato ima promeni, ponyakoga zabravyam.",LONG PHRASE,EASY,none,,,,
bg_00135,термин/-и,a term, termin/-i,SHORT,EASY,none,,,,
bg_00136,крадец/-дци,a thief, kradets/-dtsi,SHORT,EASY,none,,,,
bg_00137,въпреки че,although, vŭpreki che,MEDIUM,EASY,none,,,,
bg_00138,представа/-и,an idea, predstava/-i,MEDIUM,EASY,none,,,,
bg_00139,както се оказва,as it turns out, kakto se okazva,MEDIUM PHRASE,EASY,none,,,,
bg_00140,държание,behaviour, dŭrzhanie,MEDIUM,EASY,none,,,,
bg_00141,телесен/-сна/-сно/-сни x2,"body, bodily adj", telesen/-sna/-sno/-sni x2,ADJECTIVE,EASY,none,,,,
bg_00142,"реже/-а, no perfective, ряза/-х",cut  x3 tenses ongoing," rezhe/-a, no perfective, ryaza/-kh",VERB,EASY,none,,,,
bg_00143,"нарязва/-м, нареже/-а, наряза/-х",cut into pieces  x3 tenses," naryazva/-m, narezhe/-a, naryaza/-kh",VERB,EASY,none,,,,
bg_00144,"отрязва/-м, отреже/-а, отряза/-х",cut off  x3 tenses," otryazva/-m, otrezhe/-a, otryaza/-kh",VERB,HARD,none,,,,
bg_00145,"порязва/-м се, пореже/-а се, поряза/-х се + without ce",cut oneself;  or  cut someone (injure them with a blade)  x3 tenses," poryazva/-m se, porezhe/-a se, poryaza/-kh se + without ce",VERB,EASY,none,,,,
bg_00146,"описва/-м, опише/-а, описа/-х",describe  x3 tenses," opisva/-m, opishe/-a, opisa/-kh",VERB,EASY,none,,,,
bg_00147,въпреки,despite, vŭpreki,SHORT,EASY,none,,,,
bg_00148,всяка дума,every word, vsyaka duma,MEDIUM,EASY,none,,,,
bg_00149,изпълнителен директор,executive director, izpŭlnitelen direktor,MEDIUM PHRASE,EASY,none,,,,
bg_00150,"отказва/-м се, откаже/-а се",give up  x2 tenses," otkazva/-m se, otkazhe/-a se",VERB,EASY,none,,,,
bg_00151,Той ѝ се стори,He seemed to her, Toĭ ì se stori,MEDIUM PHRASE,EASY,none,,,,
bg_00152,Искаше да ме почерпи в бара.,He wanted to treat me in the bar., Iskashe da me pocherpi v bara.,MEDIUM PHRASE,EASY,none,,,,
bg_00153,колебае/-я се,hesitate, kolebae/-ya se,VERB,EASY,none,,,,
bg_00154,колебание,hesitation, kolebanie,MEDIUM,EASY,none,,,,
bg_00155,Нямам представа.,I have no idea., Nyamam predstava.,MEDIUM PHRASE,EASY,none,,,,
bg_00156,така мисля,I think so, taka mislya,MEDIUM,EASY,none,,,,
bg_00157,игнорира/-м,ignore, ignorira/-m,VERB,EASY,none,,,,
bg_00158,пострадал/-а/-о/-и,injured (e.g. in an accident), postradal/-a/-o/-i,MEDIUM,EASY,none,,,,
bg_00159,неправилен/-лна/-лно/-лни x2,irregular (gram.); incorrect, nepravilen/-lna/-lno/-lni x2,ADJECTIVE,HARD,none,,,,
bg_00160,Стори ѝ се ужасен.,It seemed horrible to her., Stori ì se uzhasen.,MEDIUM PHRASE,EASY,none,,,,
bg_00161,"Стори ѝ се, че",It seemed to her that," Stori ì se, che",MEDIUM PHRASE,EASY,none,,,,
bg_00162,"струва ми се, стори ми се",it seems to me x2 tenses," struva mi se, stori mi se",VERB,EASY,none,,,,
bg_00163,"оказва се, окаже се",it turns out," okazva se, okazhe se",MEDIUM PHRASE,EASY,none,,,,
bg_00164,просто,just, prosto,SHORT,EASY,none,,,,
bg_00165,учене x2,"learning, studying", uchene x2,MEDIUM,EASY,none,,,,
bg_00166,"оставя/-м, остави/-я",leave  x2 tenses," ostavya/-m, ostavi/-ya",VERB,EASY,none,,,,
bg_00167,да чукам на дърво,touch wood equiv., da chukam na dŭrvo,MEDIUM PHRASE,EASY,none,,,,
bg_00168,забележим/-а/-о/-и,noticeable, zabelezhim/-a/-o/-i,MEDIUM,EASY,none,,,,
bg_00169,едно по едно,one by one, edno po edno,MEDIUM PHRASE,UNTESTED,none,,,,
bg_00170,"успива/-м се, успи/-я се",oversleep x2 tenses," uspiva/-m se, uspi/-ya se",VERB,EASY,none,,,,
bg_00171,изпълнява/-м x2,"perform, execute", izpŭlnyava/-m x2,VERB,HARD,none,,,,
bg_00172,лични вещи,personal belongings, lichni veshti,MEDIUM PHRASE,EASY,none,,,,
bg_00173,"надделява/-м, надделее/-я",prevail x2 tenses," naddelyava/-m, naddelee/-ya",VERB,HARD,none,,,,
bg_00174,преди alt.,previously, predi alt.,MEDIUM,HARD,none,,,,
bg_00175,напредък,progress, napredŭk,MEDIUM,HARD,none,,,,
bg_00176,скорошни снимки,recent photos, skoroshni snimki,MEDIUM PHRASE,EASY,none,,,,
bg_00177,страда/-м от,suffer from, strada/-m ot,VERB,EASY,none,,,,
bg_00178,Айфеловата кула,the Eiffel Tower, Aĭfelovata kula,MEDIUM PHRASE,EASY,none,,,,
bg_00179,Няма начин да се държат джебчиите далеч от тези райони.,There's no way for pickpockets to be kept away from these areas., Nyama nachin da se dŭrzhat dzhebchiite dalech ot tezi raĭoni.,LONG PHRASE,EASY,none,,,,
bg_00180,вещ/-и (f.) x3,"thing, object, belonging", vesht/-i (f.) x3,MEDIUM,HARD,none,,,,
bg_00181,"споменава/-м, спомене/-а",to mention x2 tenses," spomenava/-m, spomene/-a",VERB,HARD,none,,,,
bg_00182,тенденция/-и x2,"trend, tendency", tendentsiya/-i x2,MEDIUM,EASY,none,,,,
bg_00183,в крайна сметка x2,"ultimately, at the end of the day", v kraĭna smetka x2,MEDIUM PHRASE,UNTESTED,none,,,,
bg_00184,глагол/-и,verb, glagol/-i,MEDIUM,EASY,none,,,,
bg_00185,заможен/-жна/-жно/-жни,well-off, zamozhen/-zhna/-zhno/-zhni,ADJECTIVE,EASY,none,,,,
bg_00186,Какво значеше това? (alt),What did this mean?, Kakvo znacheshe tova? (alt),MEDIUM PHRASE,EASY,none,,,,
bg_00187,бях уморен (не 'уморено'),I Was Tired , byakh umoren (ne 'umoreno'),SHORT PHRASE,EASY,none,,,,
bg_00188,Не съм я чувал от една седмица.,I Haven't Heard From Her In A Week., Ne sŭm ya chuval ot edna sedmitsa.,MEDIUM PHRASE,EASY,none,,,,
bg_00189,Не знам дали се е прибрала.,I Don't Know If She's (got) Home., Ne znam dali se e pribrala.,MEDIUM PHRASE,HARD,none,,,,
bg_00190,Тази торта се прави със какао.,This Cake Is Made With Cocoa., Tazi torta se pravi sŭs kakao.,MEDIUM PHRASE,EASY,none,,,,
bg_00191,Не знам дали е вярно.,I Don't Know If It's True., Ne znam dali e vyarno.,MEDIUM PHRASE,EASY,none,,,,
bg_00192,Викнах на човека отпред.,I Called To The Man (alt) In Front., Viknakh na choveka otpred.,MEDIUM PHRASE,EASY,none,,,,
bg_00193,Той не се обърна.,He Didn't Turn Around., Toĭ ne se obŭrna.,MEDIUM PHRASE,HARD,none,,,,
bg_00194,Не съм българин. (не 'български'),I'm Not Bulgarian. (not 'Bulgarian'), Ne sŭm bŭlgarin. (ne 'bŭlgarski'),MEDIUM PHRASE,UNTESTED,none,,,,
bg_00195,Хората оставят вратите отворени.,People Leave Doors Open., Khorata ostavyat vratite otvoreni.,MEDIUM PHRASE,HARD,none,,,,
bg_00196,една двойка,A Couple, edna dvoĭka,MEDIUM,EASY,none,,,,
bg_00197,"Счупиха стената, като бутнаха вратата много силно. (not твърде)",They Broke The Wall By Pushing The Door Too Hard.," Schupikha stenata, kato butnakha vratata mnogo silno. (not tvŭrde)",LONG PHRASE,EASY,none,,,,
bg_00198,Бени иска да се качи на леглото.,Benny Wants To Get On The Bed. (get onto), Beni iska da se kachi na legloto.,LONG PHRASE,EASY,none,,,,
bg_00199,"едно изречение, което",(there is…)a sentence that," edno izrechenie, koeto",MEDIUM PHRASE,EASY,none,,,,
bg_00200,зна̀чи/-а,means x2 alt = означава/-м , znàchi/-a,VERB,EASY,none,,,,
bg_00201,Дано,Hopefully (alt), Dano,MEDIUM,EASY,none,,,,
bg_00202,съвсем,"completely, quite", sŭvsem,MEDIUM,HARD,none,,,,
bg_00203,плъзне се,slide, plŭzne se,VERB,HARD,none,,,,
bg_00204,изкривена представа,a twisted idea, izkrivena predstava,MEDIUM PHRASE,EASY,none,,,,
bg_00205,освен че,apart from the fact that, osven che,MEDIUM,HARD,none,,,,
bg_00206,завой/-и,bend, zavoĭ/-i,MEDIUM,EASY,none,,,,
bg_00207,крив/-а/-о/-и x2,"bent, crooked", kriv/-a/-o/-i x2,MEDIUM,HARD,none,,,,
bg_00208,"пресмята/-м, пресметне/-а",calculate," presmyata/-m, presmetne/-a",VERB,HARD,none,,,,
bg_00209,"провежда/-м, проведе/-а проучване",conduct research," provezhda/-m, provede/-a prouchvane",VERB,EASY,none,,,,
bg_00210,поколение/-я,generation, pokolenie/-ya,MEDIUM,HARD,none,,,,
bg_00211,буква/-и,letter (from the alphabet), bukva/-i,MEDIUM,EASY,none,,,,
bg_00212,заем/-и,loan, zaem/-i,MEDIUM,EASY,none,,,,
bg_00213,успявам да се справя,I manage to do well, uspyavam da se spravya,MEDIUM PHRASE,EASY,none,,,,
bg_00214,предпочита/-м нещо ПРЕД нещо друго,prefer something OVER something else, predpochita/-m neshto PRED neshto drugo,VERB,EASY,none,,,,
bg_00215,"изкривява/-м, изкриви/-я x2","to bend, twist"," izkrivyava/-m, izkrivi/-ya x2",VERB,HARD,none,,,,
bg_00216,"заявява/-м, заяви/-я",to declare," zayavyava/-m, zayavi/-ya",VERB,HARD,none,,,,
bg_00217,"определя/-м, определи/-я",to define," opredelya/-m, opredeli/-ya",VERB,EASY,none,,,,
bg_00218,несигурен/-рна/-рно/-рни x2,"uncertain, insecure", nesiguren/-rna/-rno/-rni x2,ADJECTIVE,HARD,none,,,,
bg_00219,разбираем/-а/-о/-и,understandable, razbiraem/-a/-o/-i,MEDIUM,HARD,none,,,,
bg_00220,освен ако,unless, osven ako,SHORT PHRASE,EASY,none,,,,
bg_00221,В Чепеларе ли си?,Are you in Chepelare?, V Chepelare li si?,MEDIUM PHRASE,EASY,none,,,,
bg_00222,Елисо ме помоли да се разходим (ние).,Eliso asked me to go for a walk, Eliso me pomoli da se razkhodim (nie).,MEDIUM PHRASE,EASY,none,,,,
bg_00223,в осем и половина (не 'на'),at half past eight, v osem i polovina (ne 'na'),SHORT PHRASE,EASY,none,,,,
bg_00224,"същата дума, същите думи",the same word," sŭshtata duma, sŭshtite dumi",MEDIUM PHRASE,EASY,none,,,,
bg_00225,Отнема много време. (не 'отнеме'),It takes a long time. , Otnema mnogo vreme. (ne 'otneme'),MEDIUM PHRASE,EASY,none,,,,
bg_00226,много фрази не звучат (не 'звучят'),many phrases don't sound, mnogo frazi ne zvuchat (ne 'zvuchyat'),MEDIUM PHRASE,EASY,none,,,,
bg_00227,"о, у x2","oh, uh x2"," o, u x2",MEDIUM,EASY,none,,,,
bg_00228,"е, и x2","it, and x2"," e, i x2",MEDIUM,HARD,none,,,,
bg_00229,макар че ,although alt, makar che ,MEDIUM,EASY,none,,,,
bg_00230,Паричната дисморфия се определя като...,Money dysmorphia is defined as (is defined as)..., Parichnata dismorfiya se opredelya kato...,LONG PHRASE,EASY,none,,,,
bg_00231,четиресет и ЕДИН процента (не 'една'),forty-ONE percent, chetireset i EDIN protsenta (ne 'edna'),MEDIUM PHRASE,EASY,none,,,,
bg_00232,Трудно е да се знае кога имаш достатъчно пари. (не 'когато'),It's hard to know when you have enough money. , Trudno e da se znae koga imash dostatŭchno pari. (ne 'kogato'),LONG PHRASE,EASY,none,,,,
bg_00233,Трябва да си успешен.,You have to be successful., Tryabva da si uspeshen.,MEDIUM PHRASE,EASY,none,,,,
bg_00234,Разбирам защо младите хора се притесняват.,I understand why young people worry., Razbiram zashto mladite khora se pritesnyavat.,MEDIUM PHRASE,EASY,none,,,,
bg_00235,работи/-я много/усърдно (не 'трудно'),work hard x2, raboti/-ya mnogo/usŭrdno (ne 'trudno'),VERB,EASY,none,,,,
